📡  央视频道,#genre#
CCTV1,http://live.nctv.top/888/ysp.php?id=cctv1
CCTV2,http://live.nctv.top/888/ysp.php?id=cctv2
CCTV3,http://live.nctv.top/888/ysp.php?id=cctv3
CCTV4,http://live.nctv.top/888/ysp.php?id=cctv4
CCTV5,http://live.nctv.top/888/ysp.php?id=cctv5
CCTV5+,http://live.nctv.top/888/ysp.php?id=cctv5p
CCTV6,http://live.nctv.top/888/yfy.php?id=cctv6
CCTV7,http://live.nctv.top/888/ysp.php?id=cctv7
CCTV8,http://live.nctv.top/888/ysp.php?id=cctv8
CCTV9,http://live.nctv.top/888/ysp.php?id=cctv9
CCTV10,http://live.nctv.top/888/ysp.php?id=cctv10
CCTV11,http://live.nctv.top/888/ysp.php?id=cctv11
CCTV12,http://live.nctv.top/888/ysp.php?id=cctv12
CCTV13,http://live.nctv.top/888/ysp.php?id=cctv13
CCTV14,http://live.nctv.top/888/ysp.php?id=cctv14
CCTV15,http://live.nctv.top/888/ysp.php?id=cctv15
CCTV16,http://live.nctv.top/888/ysp.php?id=cctv16
CCTV17,http://live.nctv.top/888/ysp.php?id=cctv17
CCTV164k,http://live.nctv.top/888/ysp.php?id=cctv16-4k
CCTV4K,http://live.nctv.top/888/ysp.php?id=cctv4k
CCTV8K,http://live.nctv.top/888/ysp.php?id=cctv8k
CCTV兵器科技,http://live.nctv.top/888/ysp.php?id=bqkj
CCTV第一剧场,http://live.nctv.top/888/ysp.php?id=dyjc
CCTV怀旧剧场,http://live.nctv.top/888/ysp.php?id=hjjc
CCTV风云剧场,http://live.nctv.top/888/ysp.php?id=fyjc
CCTV风云音乐,http://live.nctv.top/888/ysp.php?id=fyyy
CCTV风云足球,http://live.nctv.top/888/ysp.php?id=fyzq
CCTV电视指南,http://live.nctv.top/888/ysp.php?id=dszn
CCTV女性时尚,http://live.nctv.top/888/ysp.php?id=nxss
CCTV央视文化精品,http://live.nctv.top/888/ysp.php?id=whjp
CCTV世界地理,http://live.nctv.top/888/ysp.php?id=sjdl
CCTV高尔夫网球,http://live.nctv.top/888/ysp.php?id=gefwq
CCTV央视台球,http://live.nctv.top/888/ysp.php?id=ystq
CCTV卫生健康,http://live.nctv.top/888/ysp.php?id=wsjk

CCTV1,http://live.nctv.top/888/bestv.php?id=cctv1
CCTV2,http://live.nctv.top/888/bestv.php?id=cctv2
CCTV3,http://live.nctv.top/888/bestv.php?id=cctv3
CCTV4,http://live.nctv.top/888/bestv.php?id=cctv4
CCTV5,http://live.nctv.top/888/bestv.php?id=cctv5
CCTV5+,http://live.nctv.top/888/bestv.php?id=cctv5p
CCTV5+,http://live.nctv.top/888/bestv.php?id=cctv5p2
CCTV6,http://live.nctv.top/888/bestv.php?id=cctv6
CCTV7,http://live.nctv.top/888/bestv.php?id=cctv7
CCTV8,http://live.nctv.top/888/bestv.php?id=cctv8
CCTV9,http://live.nctv.top/888/bestv.php?id=cctv9
CCTV10,http://live.nctv.top/888/bestv.php?id=cctv10
CCTV11,http://live.nctv.top/888/bestv.php?id=cctv11
CCTV12,http://live.nctv.top/888/bestv.php?id=cctv12
CCTV13,http://live.nctv.top/888/bestv.php?id=cctv13
CCTV14,http://live.nctv.top/888/bestv.php?id=cctv14
CCTV15,http://live.nctv.top/888/bestv.php?id=cctv15
CCTV16,http://live.nctv.top/888/bestv.php?id=cctv16
CCTV164k,http://live.nctv.top/888/bestv.php?id=cctv164k
CCTV17,http://live.nctv.top/888/bestv.php?id=cctv17
CCTV4K,http://live.nctv.top/888/bestv.php?id=cctv4k

CCTV1,http://125.76.177.218:8888/udp/239.112.205.59:5140
CCTV2,http://125.76.177.218:8888/udp/239.112.205.78:5140
CCTV3,http://125.76.177.218:8888/udp/239.112.205.221:5140
CCTV4,http://125.76.177.218:8888/udp/239.112.205.202:5140
CCTV5,http://125.76.177.218:8888/udp/239.112.205.222:5140
CCTV5+,http://125.76.177.218:8888/udp/239.111.205.13:5140
CCTV6,http://125.76.177.218:8888/udp/239.112.205.223:5140
CCTV7,http://125.76.177.218:8888/udp/239.112.205.83:5140
CCTV8,http://125.76.177.218:8888/udp/239.112.205.224:5140
CCTV9,http://125.76.177.218:8888/udp/239.112.205.85:5140
CCTV10,http://125.76.177.218:8888/udp/239.112.205.86:5140
CCTV11,http://125.76.177.218:8888/rtp/239.112.205.213:5140
CCTV12,http://125.76.177.218:8888/rtp/239.112.205.88:5140
CCTV14,http://125.76.177.218:8888/rtp/239.112.205.91:5140
CCTV15,http://125.76.177.218:8888/rtp/239.112.205.214:5140
CCTV16,http://125.76.177.218:8888/rtp/239.111.205.134:5140
CCTV17,http://125.76.177.218:8888/rtp/239.112.205.211:5140

CCTV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2,rtsp://115.153.233.154/PLTV/88888888/224/3221226825/59814584.smil
CCTV3,rtsp://115.153.245.70/PLTV/88888888/224/3221226841/63329606.smil
CCTV3,rtsp://115.153.233.154/PLTV/88888888/224/3221226930/65406412.smil
CCTV4,rtsp://115.153.233.154/PLTV/88888888/224/3221226838/59814684.smil
CCTV5,rtsp://115.153.233.154/PLTV/88888888/224/3221226852/63329574.smil
CCTV5,rtsp://115.153.212.72/PLTV/88888888/224/3221226907/65396401.smil
CCTV5+,rtsp://115.153.233.154/PLTV/88888888/224/3221226976/85722488.smil
CCTV5+,rtsp://115.153.230.145/PLTV/88888888/224/3221226976/85722488.smil
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV6,rtsp://115.153.245.70/PLTV/88888888/224/3221226843/63329570.smil
CCTV6,rtsp://115.153.233.154/PLTV/88888888/224/3221226909/65396493.smil
CCTV7,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV8,rtsp://115.153.245.70/PLTV/88888888/224/3221226854/63329578.smil
CCTV8,rtsp://115.153.233.154/PLTV/88888888/224/3221226911/65406606.smil
CCTV9,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV10,rtsp://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil
CCTV11,rtsp://115.153.233.154/PLTV/88888888/224/3221226986/85722616.smil
CCTV12,rtsp://115.153.233.154/PLTV/88888888/224/3221226829/59814709.smil
CCTV13,rtsp://115.153.233.154/PLTV/88888888/224/3221227037/87447722.smil
